user_id,Action,Adventure,Animation & Modeling,Audio Production,Casual,Design & Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing
--000--,49.15,,,,,,,,,,,,,,,,,,,
--ace--,21.15,21.15,,,,,,,,21.15,,21.15,,,,,,,,
--ionex--,14.03,14.03,,,,,,,,14.03,,14.03,,,,,,,,
-2SV-vuLB-Kg,515.92,,,,,,,,,,,,,,,,6.37,,,
-Beave-,47.73,,,,,,,,,,,,,,,,,,,
-Kenny,214.03,,,,,,,,,,,,,,,,,,,
-Mad-,57.66,,,,,,,,,,,,,,,,,,,
-PRoSlayeR-,23.98,3.6,,,,,,,,23.98,,,,,,,,,,
-SEVEN-,2618.68,259.1,,,,,,,,,,,,,,,,,,
-SatansLittleHelper-,563.7,,,,,,,,,,,,,,,,,,,
-Ultrix,95.22,,,,,,,,,,,,,,,,,,,
-_PussyDestroyer_-,0.98,0.98,,,,,,,,4.33,,,,,,,,,,
-kainey9777,164.3,,,,,,,,,,,,,,,,,,,
0-3-0,4.91,,,,,,,,4.08,,,,,,,,,,,
00000000000000000001227,409.04,,,,,,,,,,,,,,,,,,,
001000111000111000010,43.23,,,,,,,,,,,43.23,,,,,,,,
00454211432342,2223.28,,,,,,,,,,,,,,,,,,,
0099654321891111,6.62,,,,,,,,,,,,,,,,,,,
00True,2776.94,,,,,,592.87,,,592.87,592.87,,,,,,,,,
01001000-01101001,56.93,49.48,,,,,,,,106.41,,56.93,,49.48,,,49.48,,,
011011010111001000101110,15.72,15.72,,,15.72,,,,,15.72,,,,,,,,,,
011111135489484797,7.27,,,,,,,,,,,,,,,,,,,
01189958889189157253,18.85,18.85,,,,,18.85,,,577.97,15.9,15.9,,562.07,,,,,,
01221733,,,,,,,,,1.77,,,,1.77,1.77,,1.77,,,,
022899,216.73,216.73,,,216.73,,,,,216.73,,216.73,,,,,786.17,,,
04061993,196.95000000000002,10.12,,,,,,,,,,,,,,,,,,
042153100,143.12,28.02,,,,,115.1,,,115.1,115.1,,,,,,,,,
04280122,32.72,,,,,,,,32.72,,32.72,,,,,,,,,
0432-026-no,111.82,111.82,,,,,,,,,,,,,,,,,,
05041129,506.08,,,,,,,,,,,,,,,,,,,
05461025,16.63,16.63,,,16.63,,,,16.63,16.63,,,,,,,,,,
0700464574757,24.17,,,,,,,,,,,,,,,,,,,
07846813956825,229.22,229.22,,,,,229.22,,,229.22,229.22,229.22,,,,,,,,
0896398616,75.13000000000001,75.13000000000001,,,,,,,,4.65,,,,,,,,,,
0903512455,7.48,7.48,,,,,,,,7.48,,,,,,,,,,
